two_wheelers,cars,buses,trucks,timestamp
377,467,35,77,2024-01-01 00:00:00
348,590,35,50,2024-01-01 01:00:00
407,638,44,64,2024-01-01 02:00:00
485,739,33,75,2024-01-01 03:00:00
411,843,38,94,2024-01-01 04:00:00
446,627,53,127,2024-01-01 05:00:00
620,704,46,97,2024-01-01 06:00:00
1505,1401,92,68,2024-01-01 07:00:00
1339,1778,108,98,2024-01-01 08:00:00
1641,2079,86,116,2024-01-01 09:00:00
587,1159,70,128,2024-01-01 10:00:00
601,1022,53,112,2024-01-01 11:00:00
675,992,72,149,2024-01-01 12:00:00
461,1057,67,142,2024-01-01 13:00:00
468,883,68,107,2024-01-01 14:00:00
556,1276,55,128,2024-01-01 15:00:00
488,699,43,132,2024-01-01 16:00:00
1413,1775,87,102,2024-01-01 17:00:00
1082,2089,52,79,2024-01-01 18:00:00
910,1480,66,70,2024-01-01 19:00:00
519,662,49,101,2024-01-01 20:00:00
381,598,41,65,2024-01-01 21:00:00
374,577,48,79,2024-01-01 22:00:00
280,686,41,57,2024-01-01 23:00:00
323,375,32,81,2024-01-02 00:00:00
362,701,36,69,2024-01-02 01:00:00
307,467,37,88,2024-01-02 02:00:00
418,607,30,85,2024-01-02 03:00:00
388,638,37,70,2024-01-02 04:00:00
443,806,42,112,2024-01-02 05:00:00
456,610,35,124,2024-01-02 06:00:00
1727,1850,82,98,2024-01-02 07:00:00
1440,2407,83,82,2024-01-02 08:00:00
1279,1548,68,93,2024-01-02 09:00:00
710,1040,67,129,2024-01-02 10:00:00
529,933,72,116,2024-01-02 11:00:00
673,1110,67,164,2024-01-02 12:00:00
457,1038,62,132,2024-01-02 13:00:00
506,914,69,75,2024-01-02 14:00:00
626,1044,67,128,2024-01-02 15:00:00
641,1173,60,109,2024-01-02 16:00:00
1386,1681,71,86,2024-01-02 17:00:00
1233,1779,78,76,2024-01-02 18:00:00
1105,1194,82,83,2024-01-02 19:00:00
332,584,39,100,2024-01-02 20:00:00
353,677,52,82,2024-01-02 21:00:00
346,726,34,70,2024-01-02 22:00:00
413,601,36,71,2024-01-02 23:00:00
370,536,32,71,2024-01-03 00:00:00
